0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:33:36 +0530] "GET /ShopManagement/images/milk.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:33:36 +0530] "GET /ShopManagement/images/turkey.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:33:36 +0530] "GET /ShopManagement/images/pork.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:33:36 +0530] "GET /ShopManagement/images/beef.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:33:36 +0530] "GET /ShopManagement/images/chicken.jpg HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:37:29 +0530] "GET /ShopManagement/home.jsp HTTP/1.1" 200 8466
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:37:29 +0530] "GET /ShopManagement/images/apple.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:37:29 +0530] "GET /ShopManagement/images/banana.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:37:29 +0530] "GET /ShopManagement/images/carrot.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:37:29 +0530] "GET /ShopManagement/images/milk.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:37:29 +0530] "GET /ShopManagement/images/beef.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:37:29 +0530] "GET /ShopManagement/images/pork.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:37:29 +0530] "GET /ShopManagement/images/chicken.jpg HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:37:29 +0530] "GET /ShopManagement/images/turkey.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:39:21 +0530] "GET /ShopManagement/home.jsp HTTP/1.1" 200 8466
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:39:21 +0530] "GET /ShopManagement/images/banana.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:39:21 +0530] "GET /ShopManagement/images/apple.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:39:21 +0530] "GET /ShopManagement/images/carrot.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:39:21 +0530] "GET /ShopManagement/images/milk.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:39:21 +0530] "GET /ShopManagement/images/chicken.jpg HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:39:21 +0530] "GET /ShopManagement/images/beef.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:39:21 +0530] "GET /ShopManagement/images/pork.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:39:21 +0530] "GET /ShopManagement/images/turkey.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:42:52 +0530] "GET /ShopManagement/home.jsp HTTP/1.1" 200 8311
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:42:52 +0530] "GET /ShopManagement/images/apple.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:42:52 +0530] "GET /ShopManagement/images/banana.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:42:52 +0530] "GET /ShopManagement/images/carrot.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:42:52 +0530] "GET /ShopManagement/images/milk.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:42:52 +0530] "GET /ShopManagement/images/chicken.jpg HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:42:52 +0530] "GET /ShopManagement/images/beef.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:42:52 +0530] "GET /ShopManagement/images/pork.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:42:52 +0530] "GET /ShopManagement/images/turkey.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:54:33 +0530] "GET /ShopManagement/home.jsp HTTP/1.1" 200 9500
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:54:33 +0530] "GET /ShopManagement/images/apple.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:54:33 +0530] "GET /ShopManagement/images/banana.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:54:33 +0530] "GET /ShopManagement/images/orange.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:54:33 +0530] "GET /ShopManagement/images/broccoli.jpg HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:54:33 +0530] "GET /ShopManagement/images/cauliflower.jpg HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:54:33 +0530] "GET /ShopManagement/images/cheese.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:54:33 +0530] "GET /ShopManagement/images/carrot.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:54:33 +0530] "GET /ShopManagement/images/milk.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:54:33 +0530] "GET /ShopManagement/images/yogurt.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:54:33 +0530] "GET /ShopManagement/images/beef.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:54:33 +0530] "GET /ShopManagement/images/chicken.jpg HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:54:33 +0530] "GET /ShopManagement/images/duck.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:54:33 +0530] "GET /ShopManagement/images/pork.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:54:33 +0530] "GET /ShopManagement/images/turkey.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:54:33 +0530] "GET /ShopManagement/images/goose.jpg HTTP/1.1" 404 791
